TT,Quang_Cao,Tiep_Thi,Online,Doanh_So
0,12.0,5.993562031847696,3.7301330184780137,79.73275715
1,13.0,6.741511313819538,3.006753379769359,71.67789698
2,41.0,15.405956292688726,2.9873380533095397,175.1778288
3,78.0,28.294987332037724,6.9346393843792375,323.2463398
4,11.0,6.66394401211152,1.6338113513401629,81.5941808
5,21.0,9.205055571477597,1.4178904886417074,130.8891476
6,51.0,23.34416677876965,4.936190553082058,223.6798248
7,30.0,14.87032012404774,2.306052387090995,133.73393190000002
8,71.0,22.4558535594662,7.266556552918105,295.1894
9,11.0,0.4047577793856282,2.3042946454941537,73.28058223
10,54.0,23.637164113419963,5.6941187160291875,249.9610192
11,33.0,13.685403230523196,4.027830801299919,170.5439916
12,60.0,20.212956812764478,4.386826315678792,254.6323807
13,,21.35121347781464,3.5068525678931852,301.1653513
14,28.0,0.226326491,2.613326727384202,146.3364193
15,30.0,3.548053729631004,0.16395195470157756,148.5261126
16,56.0,20.810183931007288,1.258256407298424,237.7643968
17,25.0,9.543150058586376,1.9605509784179134,114.8199226
18,95.0,33.83479564982412,4.51436295405544,378.8046387
19,92.0,39.5610890672925,5.13828936843767,354.3505396
20,46.0,11.977339983529221,3.9950453437628024,187.1913335
21,72.0,33.478664841777515,3.2492076471907256,301.4013399
22,37.0,2.795150937245577,5.488560174519844,153.4846619
23,96.0,36.269310843228965,7.172000429326358,374.8615752
24,74.0,20.130771161625024,1.242072762299275,297.2501078
25,46.0,25.687706402666986,4.381001071554843,217.4619083
26,,33.93891215723315,4.874294546039863,367.9133724
27,22.0,5.219677964727026,3.0347280900393163,121.74937343
28,19.0,8.390683492200447,3.8673846196297434,101.99292807
29,31.0,12.54773605343789,2.821287922145177,164.2887894
30,60.0,22.27556877789011,5.608298460746578,259.8510253
31,86.0,27.32808125539552,7.221417198587467,348.0321827
32,11.0,2.379091187447674,3.9368641448491135,65.79219533
33,78.0,26.741441370528953,5.629744145193135,315.7775735
34,35.0,14.099780959831751,3.5770046153125765,175.6264947
35,38.0,16.11426940689236,2.459706860538745,186.7851523
36,40.0,16.754436311987405,4.523350178508217,180.5991953
37,68.0,22.146422579180665,6.640143333449888,288.0206872
38,71.0,23.036623594692568,2.6478959537093245,306.5789422
39,60.0,22.34840174687824,4.380475763573613,256.6700477
40,37.0,11.561345887575158,3.3349533594378404,173.7069665
41,74.0,25.238860981030843,5.665506034943641,319.9524151
42,61.0,20.036115805610642,3.2389822623425815,267.82488109999997
43,89.0,36.54048029267758,8.940421060375758,376.7730679
44,21.0,9.869397595087836,1.5104037943920297,116.92229739
45,9.0,5.257987963065582,2.54367768130265,57.56682505
46,,33.28010637100251,8.477422515997336,343.9697838
